節氣	西元	月	日	時	分	秒
處暑	2089	8	22	15	55	23
白露	2089	9	7	4	23	36
秋分	2089	9	22	14	6	34
寒露	2089	10	7	20	37	34
霜降	2089	10	23	0	4	59
立冬	2089	11	7	0	24	24
小雪	2089	11	21	22	11	33
大雪	2089	12	6	17	42	33
冬至	2089	12	21	11	51	42
小寒	2090	1	5	5	8	17
大寒	2090	1	19	22	34	16
立春	2090	2	3	16	41	51
雨水	2090	2	18	12	29	30
驚蜇	2090	3	5	10	21	5
春分	2090	3	20	11	1	34
清明	2090	4	4	14	35	48
榖雨	2090	4	19	21	28	0
立夏	2090	5	5	7	16	19
小滿	2090	5	20	20	1	43
芒種	2090	6	5	10	54	33
夏至	2090	6	21	3	35	34
小暑	2090	7	6	20	56	11
大暑	2090	7	22	14	25	8
立秋	2090	8	7	6	52	23
處暑	2090	8	22	21	46	49
白露	2090	9	7	10	15	26
秋分	2090	9	22	19	59	1
寒露	2090	10	8	2	33	20
霜降	2090	10	23	5	58	59
立冬	2090	11	7	6	22	17
小雪	2090	11	22	4	5	30
大雪	2090	12	6	23	39	26
冬至	2090	12	21	17	43	15
小寒	2091	1	5	11	1	32
大寒	2091	1	20	4	21	45
立春	2091	2	3	22	30	24
雨水	2091	2	18	18	12	36
驚蜇	2091	3	5	16	5	55
春分	2091	3	20	16	41	34
清明	2091	4	4	20	19	44
榖雨	2091	4	20	3	7	14
立夏	2091	5	5	13	2	40
小滿	2091	5	21	1	42	20
芒種	2091	6	5	16	45	4
夏至	2091	6	21	9	18	38
小暑	2091	7	7	2	50	29
大暑	2091	7	22	20	11	11
立秋	2091	8	7	12	49	5
處暑	2091	8	23	3	35	57
白露	2091	9	7	16	13	2
秋分	2091	9	23	1	50	33
寒露	2091	10	8	8	31	1
霜降	2091	10	23	11	52	11
立冬	2091	11	7	12	20	19
小雪	2091	11	22	10	0	0
大雪	2091	12	7	5	38	7
冬至	2091	12	21	23	38	14
小寒	2092	1	5	17	0	24
大寒	2092	1	20	10	16	8
立春	2092	2	4	4	28	26
雨水	2092	2	19	0	5	37
驚蜇	2092	3	4	22	2	14
春分	2092	3	19	22	33	16
清明	2092	4	4	2	14	11
榖雨	2092	4	19	8	59	0
立夏	2092	5	4	18	55	53
小滿	2092	5	20	7	36	9
芒種	2092	6	4	22	37	20
夏至	2092	6	20	15	14	40
小暑	2092	7	6	8	40	33
大暑	2092	7	22	2	7	24
立秋	2092	8	6	18	35	37
處暑	2092	8	22	9	29	58
白露	2092	9	6	21	55	49
秋分	2092	9	22	7	41	30
寒露	2092	10	7	14	11	16
霜降	2092	10	22	17	41	26
立冬	2092	11	6	18	0	29
小雪	2092	11	21	15	50	12
大雪	2092	12	6	11	20	41
冬至	2092	12	21	5	31	37
小寒	2093	1	4	22	46	39
大寒	2093	1	19	16	13	23
立春	2093	2	3	10	18	12
雨水	2093	2	18	6	5	46
驚蜇	2093	3	5	3	54	1
春分	2093	3	20	4	34	14
清明	2093	4	4	8	5	51
榖雨	2093	4	19	14	58	12
立夏	2093	5	5	0	45	55
小滿	2093	5	20	13	31	44
芒種	2093	6	5	4	26	12
夏至	2093	6	20	21	6	47
小暑	2093	7	6	14	30	15
大暑	2093	7	22	7	57	4
立秋	2093	8	7	0	27	20
處暑	2093	8	22	15	18	7
白露	2093	9	7	3	49	20
秋分	2093	9	22	13	28	37
寒露	2093	10	7	20	5	38
霜降	2093	10	22	23	27	59
立冬	2093	11	6	23	55	24
小雪	2093	11	21	21	37	16
大雪	2093	12	6	17	16	55
冬至	2093	12	21	11	20	28
小寒	2094	1	5	4	44	37
大寒	2094	1	19	22	3	42
立春	2094	2	3	16	16	41
雨水	2094	2	18	11	55	39
驚蜇	2094	3	5	9	51	4
春分	2094	3	20	10	21	17
清明	2094	4	4	13	59	39
榖雨	2094	4	19	20	40	34
立夏	2094	5	5	6	35	21
小滿	2094	5	20	19	9	18
芒種	2094	6	5	10	11	35
夏至	2094	6	21	2	42	1
小暑	2094	7	6	20	13	38
大暑	2094	7	22	13	34	4
立秋	2094	8	7	6	11	16
處暑	2094	8	22	20	59	58
白露	2094	9	7	9	35	42
秋分	2094	9	22	19	16	16
寒露	2094	10	8	1	54	57
霜降	2094	10	23	5	19	53
立冬	2094	11	7	5	46	21
小雪	2094	11	22	3	30	35
大雪	2094	12	6	23	7	44
冬至	2094	12	21	17	13	2
小寒	2095	1	5	10	34	42
大寒	2095	1	20	3	55	27
立春	2095	2	3	22	6	44
雨水	2095	2	18	17	47	43
驚蜇	2095	3	5	15	41	39
春分	2095	3	20	16	14	40
清明	2095	4	4	19	50	32
榖雨	2095	4	20	2	35	38
立夏	2095	5	5	12	25	33
小滿	2095	5	21	1	5	33
芒種	2095	6	5	16	0	3
夏至	2095	6	21	8	38	34
小暑	2095	7	7	2	0	39
大暑	2095	7	22	19	30	38
立秋	2095	8	7	11	58	19
處暑	2095	8	23	2	56	2
白露	2095	9	7	15	23	7
秋分	2095	9	23	1	10	49
寒露	2095	10	8	7	42	8
霜降	2095	10	23	11	12	27
立冬	2095	11	7	11	32	18
小雪	2095	11	22	9	20	42
大雪	2095	12	7	4	51	15
冬至	2095	12	21	23	0	32
小寒	2096	1	5	16	15	36
大寒	2096	1	20	9	41	14
立春	2096	2	4	3	46	32
雨水	2096	2	18	23	33	40
驚蜇	2096	3	4	21	22	50
春分	2096	3	19	22	2	38
清明	2096	4	4	1	35	23
榖雨	2096	4	19	8	26	22
立夏	2096	5	4	18	15	19
小滿	2096	5	20	6	58	13
芒種	2096	6	4	21	54	4
夏至	2096	6	20	14	30	30
小暑	2096	7	6	7	56	16
大暑	2096	7	22	1	19	10
立秋	2096	8	6	17	53	4
處暑	2096	8	22	8	41	15
白露	2096	9	6	21	16	39
秋分	2096	9	22	6	54	26
寒露	2096	10	7	13	35	1
霜降	2096	10	22	16	55	59
立冬	2096	11	6	17	25	32
小雪	2096	11	21	15	5	10
大雪	2096	12	6	10	45	30
冬至	2096	12	21	4	45	55
小寒	2097	1	4	22	10	33
大寒	2097	1	19	15	26	55
立春	2097	2	3	9	41	40
雨水	2097	2	18	5	19	19
驚蜇	2097	3	5	3	17	59
春分	2097	3	20	3	48	6
清明	2097	4	4	7	29	54
榖雨	2097	4	19	14	11	0
立夏	2097	5	5	0	7	52
小滿	2097	5	20	12	41	42
芒種	2097	6	5	3	43	24
夏至	2097	6	20	20	13	5
小暑	2097	7	6	13	41	5
大暑	2097	7	22	7	0	41
立秋	2097	8	6	23	32	35
處暑	2097	8	22	14	21	49
白露	2097	9	7	2	52	33
秋分	2097	9	22	12	35	32
寒露	2097	10	7	19	10	36
霜降	2097	10	22	22	39	29
立冬	2097	11	6	23	3	34
小雪	2097	11	21	20	52	25
大雪	2097	12	6	16	27	27
冬至	2097	12	21	10	37	7
小寒	2098	1	5	3	56	8
大寒	2098	1	19	21	20	38
立春	2098	2	3	15	28	41
雨水	2098	2	18	11	13	5
驚蜇	2098	3	5	9	3	41
春分	2098	3	20	9	40	8
清明	2098	4	4	13	12	57
榖雨	2098	4	19	20	1	26
立夏	2098	5	5	5	48	33
小滿	2098	5	20	18	31	17
芒種	2098	6	5	9	23	4
夏至	2098	6	21	2	2	40
小暑	2098	7	6	19	22	2
大暑	2098	7	22	12	50	40
立秋	2098	8	7	5	16	12
處暑	2098	8	22	20	11	21
白露	2098	9	7	8	38	22
秋分	2098	9	22	18	23	54
寒露	2098	10	8	0	57	37
霜降	2098	10	23	4	26	36
立冬	2098	11	7	4	50	21
小雪	2098	11	22	2	37	48
大雪	2098	12	6	22	12	36
冬至	2098	12	21	16	20	31
小寒	2099	1	5	9	38	59
大寒	2099	1	20	3	2	0
立春	2099	2	3	21	9	12
雨水	2099	2	18	16	52	20
驚蜇	2099	3	5	14	42	19
春分	2099	3	20	15	17	24
清明	2099	4	4	18	51	7
榖雨	2099	4	20	1	37	38
立夏	2099	5	5	11	28	45
小滿	2099	5	21	0	8	0
芒種	2099	6	5	15	7	27
夏至	2099	6	21	7	41	19
小暑	2099	7	7	1	11	22
大暑	2099	7	22	18	32	37
立秋	2099	8	7	11	9	53
處暑	2099	8	23	1	56	46
白露	2099	9	7	14	33	51
秋分	2099	9	23	0	10	46
寒露	2099	10	8	6	51	53
霜降	2099	10	23	10	12	35
立冬	2099	11	7	10	42	19
小雪	2099	11	22	8	22	17
大雪	2099	12	7	4	2	57
冬至	2099	12	21	22	4	1
小寒	2100	1	5	15	28	59
大寒	2100	1	20	8	45	35
立春	2100	2	4	2	59	58
雨水	2100	2	18	22	36	58
驚蜇	2100	3	5	20	34	14
春分	2100	3	20	21	3	22
清明	2100	4	5	0	43	30
榖雨	2100	4	20	7	24	54
立夏	2100	5	5	17	20	37
小滿	2100	5	21	5	56	58
芒種	2100	6	5	20	57	49
夏至	2100	6	21	13	31	53
小暑	2100	7	7	6	58	44
大暑	2100	7	23	0	23	38
立秋	2100	8	7	16	53	46
處暑	2100	8	23	7	47	20
白露	2100	9	7	20	14	59
秋分	2100	9	23	6	0	10
寒露	2100	10	8	12	30	54
霜降	2100	10	23	16	0	24
立冬	2100	11	7	16	19	47
小雪	2100	11	22	14	8	55
大雪	2100	12	7	9	39	49
冬至	2100	12	22	3	50	35
